0,1,2,3,4,5,6,7,8,9,10
Tint,Matheus Riolfi,"Co-founder and CEO of Tint. Before this, he was the Director of International Expansion at Turo and launched the company in Canada, UK, and Germany. He pioneered the operations, including designing risk management in different stages of the company and sourcing insurance in various countries. He is a licensed insurance broker, holds an MBA from Harvard Business school and a dual degree in business from University of São Paulo and Kedge Business School.",Jérôme Selles,"Jérôme co-founded Tint.ai, an API-based and AI-powered platform for embedded insurance. Before Tint.ai, he was the head of Data at Turo. He holds a MSc. in Applied Mathematics from ENSTA ParisTech and MSc. in Telecommunications from UPC BarcelonaTech.",,,,,,
Lastbit,Prashanth Balasubramanian,"Passionate early Bitcoin-er and developer. Left ETH Zurich mid-way through my MSc to build Lastbit full time. Working with bitcoin and playing a European tour with a German band, evidently illustrated the horrors of only legally having access to an Indian bank account but attempting to use multiple currencies on a daily basis, whilst bitcoin was promised to solve this problem. Thus, I want to solve global payments, powered by Bitcoin.

In my ""free"" time - semi-pro drummer & full time metalhead",Bernardo Magnani,"Financial services are a critical enabler for economic development and the creation of fairer societies. They have the power to create a new world order in which everyone, irrespective of where and how they are born, can equally thrive.

Financial services today are broken and fall short on their promise. My drive is to bring disruptive innovation to the industry and build a friction-less and seamless banking stack so that everyone can have fulfilling lives.",,,,,,
InpharmD,Ashish Advani,"Education: Oxford University + University of Georgia, PharmD 

Clinical pharmacist with speciality in drug information x 10 years at Atlanta Medical Center

+ operated a Drug Information Center x 10 years at Mercer University College of Pharmacy 

Blogs at Forbes, Huffington Post, AJC, and Kevin MD",Tulasee Rao Chintha,"Education: Jawaharlal Nehru Technological University , India, Bachelor of Technology 
    
Full Stack Software Architect  with specialized in Artificial Intelligence, TensorFlow, Google PEGASUS, Python , Ruby on Rails, AWS and IOT  x 10 years at Resource Logistics Inc

+  worked as Sr Software Engineer  x 5 years at TCS

 Rails and AI  meetup community host and member",,,,,,
Simplify Jobs,Ethan Horoschak,"Stanford CS. Passionate about automation, XR, and blockchain!",Rushil Srivastava,CS @ Berkeley | Excited about future of work and fintech!,Michael Yan,CS @ Stanford. West Virginia native.,,,,
Unschool,Narayanan S,co-founder and Chief Business Officer,Rahul Varma,Co-Founder and CEO at Unschool,,,,,,
Tilt,Rachit Parikh,Daksh Shah,Deepak VS,,,,,,,
Juicy Marbles,Maj Hrovat,"Biotechnologist by education, but I specialize in protein processing and texture development for plant-based products. I have a great passion for crafting delicious, innovative foods - I see food as a scientific experiment that can be eaten. Before co-founding Juicy marbles I was working on a variety of hardware projects, from precision farming robots, to inexpensive lab equipment - that experience became quite handy, when we were developing a machine for texturing protein into steaks.",Tilen Travnik,"Tilen is an experienced digital transformation entrepreneur turned food-tech geek. Together with his two co-founders, they launched BEVO - a plant protein texturisation company that developed a process and designed a machine capable of turning any plant protein in a delicious whole-cut steak. Tilen is also an avid supporter of Slovenia's startup ecosystem and holds an MBA.",Luka Sinček,,,,,
Milk Video,Leonard Bogdonoff,"Want to chat? https://calendly.com/rememberlenny/30min

Prior to cofounding Milk, I worked on Google Fonts, served two years at the US federal government technology transformation organization, and worked at the New Yorker. I’ve also written code for a number of other startups and larger corporations.

My personal interests are in tracking street art around the world, and educational pedagogy.",Ross Cranwell,"For the last 15 years, I've been building out marketing teams at startups in the US and China.

Since arriving in New York 6 years ago, I have worked at venture-backed B2B SaaS businesses running demand generation teams. Both of these businesses have been acquired by public companies for a total of $142 million.

Before New York, I specialized in marketing at B2C elearning companies in Shanghai. I also built out two of my own businesses, one of which still thrives across China today.",,,,,,
"STOKE Space Technologies, Inc",Tom Feldman,Andy Lapsa,,,,,,,,
Clicoh,Juan Martin Altamirano,"Born and raise in Cordoba, Argentina.
Passionate about building or fixing tech things.

Co-founded Delinova Supplies in 2018, it was a pretty good experience. Not working there anymore.
And I'm co-founder and COO of Clicoh.",Emiliano Segura,I am always trying to think outside the box.,Agustin Novillo Saravia,,,,,
ProcessLabs,Pablo Ferrari,"Entrepreneur, Engineer, Humanitarian.

Led Product, Engineering and Sales at Verbio building AI solutions for companies like Intel, SoftBank or Sprint. Former management consultant at Bain & Company.

I have created multiple companies in different industries like credit scoring (Ibercheck, CTO), Ecommerce (Tiendalista, CEO), Non-profit (Nomads.ai, founder).",Deepanshu Madan,"Full-stack software engineer, Business, and Product lead.

I have led Engineering, Product, and Business teams as a Product Manager on the Android developer's tools team, and on the AdMob team at Google. 

Prior to that, I have worked as a Senior Software Engineer at OpenTable & Expedia in the Silicon Valley.",,,,,,
Dyte,Palash Golecha,"Bengaluru, India",Abhishek Kankani,"No Bio, I chose Computer Science :)",Kushagra Vaish,//TODO: Add some meaningful intro,,,,
Referenceable,Jinal Jhaveri,"Jinal is the founder & CEO of Referenceable (YCW21). Prior to that, he founded SchoolMint (200+ employees, $20M+ ARR, Acquired) and Mismo ($5M+ ARR, profitable). Jinal is also a venture partner at Runa Capital ($350M+ AUM) and an angel/ secondary investor.",Adam Pearson,,,,,,,
SoloSuit,Scott Erickson,Scott co-founded SoloSuit as its CTO after he felt the annoyance of a debt collector harassing him over a fraudulent debt. Scott has a Masters in Computer Science from Princeton University. He is passionate about helping people defend against debt lawsuits.,George Simons,"George is dedicated to closing the Justice Gap. SoloSuit does this by helping people respond to debt-collection lawsuits. He graduated from BYU with his JD/MBA in 2020. In his spare time, he likes to cook — because he likes to eat.",,,,,,
TRACTIAN,Gabriel Lameirinhas,Engineer and fanatic to make the life of maintenance teams better.,Igor Marinelli,"The world runs on machines, we make the machines run!",,,,,,
AutoProctor,Jayanth Neelakanta,"Jayanth (CEO/CTO) has a PhD in Physics from Syracuse University. He has taught for 8 years and has experience building eLearning Products. He started AutoProctor in March 2020, when he realised that schools may be forced to operate remotely due to COVID.",,,,,,,,
AcadPal,Vikramaditya Patil,"I am passionate about technology, and I believe strongly in the Invisible hand of the market.",Pratyush Sharma,Graduate from IIT Bombay with prior experience of selling to Indian Test Prep classes,,,,,,
Dendron,Kevin Lin,"Ex-amazon, dev, solo founder of [Dendron](https://dendron.so).

Dendron lets anyone build knowledge bases of any size and selectively publish any part of it.",,,,,,,,
Codingal,Satyam Baranwal,"Satyam has a professional exp. of over 11 yrs. He is an IIT, Dhanbad alumnus, and has helped to start one of the largest private-sector coal mines of India belonging to Reliance Power.

He has been teaching school kids since his school days and even during college days he focused on providing quality education as well as computer literacy programs to school kids via various NGOs.

He is in Edtech since last 5 years and successfully built a coding company for kids called Skillovate Learning",Vivek Prakash,"Vivek completed his B.Tech. and M.Tech. in Computer Science from IIT Roorkee (India) in 2013. After that, he co-founded HackerEarth - India’s largest platform for 5M+ Computer Science students in universities to become a better programmer via competitions and hackathons, with $4M+ in annual revenue. He is a programmer at heart. 8 years later, he co-founded Codingal to continue on the mission and journey to inspire school kids to fall in love with coding.",,,,,,
Resquared,Griffin Morris,"B2B, commercial real estate focused entrepreneur.",Tyler Carlson,,,,,,,
QuickNode,Auston Bunsen,Co-founder @ QuikNode.io,Dmitry Shklovsky,"Co-Founder QuikNode.io
Co-Founder BelugaCDN (acquired 2018)
--
10+ Years in MSP & CDN Business",Manuel Kreutz,,Alexander Nabutovsky,,,
ProPhone,Shannon Kay,"Shannon is the co-founder and CPO of ProPhone. Prior to ProPhone, she completed her first year of Harvard MS in Engineering Sciences / MBA dual degree. She has a background in data and analytics and systems engineering. She's an amateur photographer, ice cream aficionado, and swimming enthusiast.",Nick Ornitz,"Nick is the Co-Founder and CEO of ProPhone. Nick has a background working and consulting in the construction industry focusing on building technologies. He has focused primarily on go-to-market strategy and growth. He graduated Cornell university with a degree in chemical engineering and has completed one year of Harvard Business School before taking leave to work on ProPhone full time. 

In his free time, Nick likes almost anything in nature including hiking, sailing, skiing and scuba diving.",Daniel Stepanov,CTO and cofounder at ProPhone (YC W21). Passionate about genomics and empowering under-represented people through tech.,,,,
Quotabook,Andy Choi,"Andy is the CEO and co-founder of Quotabook. Before, he was a software engineer in Silicon Valley and a VC in Korea.",Dan Hong,"- Born in South Korea
- Elementary School in San Diego (California)
- Business Major in Yonsei University
- Kcube Ventures Investment Intern 
- Kakao, BD & Data Analytics
- Kakao Ventures, Analyst
- Quotabook, Co-Founder",Pilseon Jun,,,,,
Flextock,Mohamed Mossaad,Mohamed is the co-founder and CEO of Flextock. He has an experience combining building and scaling tech startups in the Middle East with corporate management consulting from his time at Bain & Company. He studied business at Stanford GSB and has an Engineering degree from AUC.,Enas Siam,"I have 10 years experience working across large multinational companies and start-ups in the areas of commercial, operations and general management. I'm passionate about solving complex problems and making an impact in my community.",,,,,,
Serverless Stack,Jay V,Founder at Serverless Stack,Frank Wang,Founder at Serverless Stack,,,,,,
Partnered,Adam Michalski,"CEO + Co-Founder, Partnered.io | Host of The Partnered Podcast | Steering Committee of Cloud Software Association & Partnership Leaders 

Previously Partner Growth at Branch.io",Tim Sherwood,"The product and engineering half of Partnered.io.

Previously led teams at DataRobot, and built social and collaboration platforms that are enhanced by workflows and automation.",,,,,,
Homebase,Phillip An,"Phillip An is the co-founder of Homebase. Previously, Phillip spent time in Investment Banking at Goldman Sachs, and Management Consulting at McKinsey & Company. He earned a degree in Computer Science from Caltech.",JunYuan (JY) Tan,"JY is the Co-founder and CEO of Homebase. Before this, he was CEO & Co-founder of Reprice Technologies, a VC-backed software company, and Atlantis Lab, a VC-backed blockchain development & advisory firm. JY studied computer science at University of Pennsylvania, business at University of Manchester and has completed all 3 levels of CFA.",,,,,,
Benga,Moran Mishan,"""Those who say it can't be done are usually interrupted by others doing it.""
-James Baldwin
An experienced software engineer, with strong motivation and capabilities for getting the job done quickly and efficiently.

#Coding#Surfing#Kids#Family#Hacking#Beer#sea#Gym#tech",Tomer Biger,,,,,,,
LogisticsOS,Tiangang Song,"Tech geek, ask me about any technologies. Also interested in many other fields like music, philosophy, psychology, physics, etc.",Yuzhe Yan,"Hi there, I am Yuzhe. I am an algo expert and a C++ guru. Let me know how I can help.",,,,,,
Veera Health,Shobhita Narain,"Deep healthcare expertise with experience in the pharma, hospital, and health payer space. I've worked previously at UnitedHealth Group, Accenture Life Sciences & GlaxoSmithKline.",Shashwata Narain,,,,,,,
LightTwist,Vikas Reddy,"Vikas is the Founder and CEO of LightTwist. Prior to LightTwist, he was co-founder of RedLaser (barcode scanning price comparison app, acquired by eBay in 2010), and co-founder of computer vision startup Occipital where he built products like Structure Sensor and Canvas.

He graduated from the University of Michigan with a degree in Computer Science Engineering.",,,,,,,,
Trendpop,Yoav Zimmerman,"Software engineer with experience in data, machine learning, and infrastructure.",Jonathan Ben-tzur,,,,,,,
Text Blaze,Dan Barak,Scott Fortmann-Roe,,,,,,,,
Sendbox,Olusegun Afolahan,Founder at Sendbox,Emotu Balogun,Co-founder & CEO at Sendbox. Previously co-founded and ran a fashion marketplace for Nigerian merchants. 10 years+ in software & product development.,,,,,,
Coderhouse,Nahuel Lema,"Reaching 10 years of experience in the Argentine software market, from large Software Factories to small Start-ups, to being a teacher in more than a dozen courses, I was part of very diverse teams (and work groups) for the most various business models I can say that I have spent a lot of time in different trenches offering my 110%.",Christian Patiño,"CEO at Coderhouse. Born in USA, raised in Venezuela and now living in Argentina. I've been in edTech for over 6 years. Now trying to democratize quality education in LatAm.",,,,,,
Enode,Henrik Langeland,CEO and Co-founder of Enode,Thorvald Thorsnes,"Co-founder and sales rep at Enode. Previously founder of Photo Roulette, a mobile game with 20 + million users.",Nikolai Heum,,,,,
Zapt,Gui Alvarenga,"Co-founder and CTO at Zapt
Board Member at ChatPay, Coinext and Siteware
Advisory Board Member at Inco
President of Hexagon Mining
Founder and CEO of Devex, sold to Hexagon AB in 2013",João Jönk,"Brazilian, design lover but not a designer, interested in consumer brands, the future of education, and economic development. I enjoy podcasts, running, wine, yoga, skiing, traveling.",Guilherme Nazareth de Souza,"Co-founder and CEO of Zapt. Loves traveling to exotic cities, reading about economic history, and Barry's Bootcamp.",,,,
Datrics,Kirill Kirykov,"15 years in software development.
Co-founder @ Datrics - low code data-science platform
Prev: Co-founder @ 4irelabs - blockchain, fintech development and consulting
Live in Kyiv, travel a lot, love good coffee.
Learning snowboard, tennis, and Spanish.",Volodymyr Sofinskyi,"6 years in analytics and data science
Sound math background
Co-founder @ Datrics - low code data-science platform
Live in Lviv, love cats, and don't drink coffee.",Anton Vaisburd,"co-founder & CEO @Datrics
AI/ML enthusiast, former data science consultant and manager
Mathematics and FinServ background
Previously founded Fizmatik - a school of olympiad mathematics and physics for children
Sports lover, traveler",,,,
Great Question,Ned Dwyer,"Founder of Great Question - we help product teams talk to their customers through user research.

Previously built & sold Elto to GoDaddy, where I was Director of Product. 

Australian living in Oakland.",PJ Murray,"CTO & Founder of Great Question. Previously founded & sold Elto (with Ned)

Software development for 10 years. Primarily working with early start startups. Mostly Rails. 

South African born Kiwi living in Australia.",,,,,,
Invoid,Sarthak Goel,"Computer scientist who loves to work on impactful ideas. Have coded for India's top travel marketplace with 3M+ DAUs. Sold my last product to the government. 
I love dev tools and believe that developers are the new influencers.",Kunwar Raj Sethi,"Building inVOID which is a leading startup in the onboarding automation & identity verification domain; working with companies to provide compliant identity & workflow automation solutions.; in a span of 2 years, acquired more than 25 customers and set up a team of qualified engineers, data scientists and business folks. 

New Ventures Leadership at Massachusetts Institute of Technology

Experienced Management Consultant with a demonstrated history of working across various industries.",,,,,,
Hudu,Jacob Hart,"I graduated Colorado State University with a Econ major, with 10+ years of experience in programming, web design, and marketing.",John Hart,,,,,,,
LiveFlow,Lasse Kalkar,"I'm Lasse - I love to build companies. Before LiveFlow, I was Head of Growth, Nordics at Revolut where I led Growth and Market Launches in the Nordics. I also worked at Nova Founders Capital where we built an executive conference and last, I built a micro-investing app that allowed you to round up your spare change and invest it in crypto (Acorns for crypto), but that failed :)",Anita Koimur,"Anita is the COO at LiveFlow. Before starting the venture, Anita was in charge of Business Development at Revolut Rewards. She consolidated the position of Rewards as a data-driven customer acquisition platform for partners and a customer engagement solution for Revolut. Anita led the product rollout to thirteen markets across EMEA, the United States, and APAC. 
Anita is a citizen of the world who received a Global Talent Visa: born in Sweden and raised in Russia, she currently lives in London.",,,,,,
Remora,Paul Gross,"Before Remora, I ran large-scale randomized experiments that uncovered new ways to increase political participation and bipartisanship. I first experienced the joys of carbon-neutral transportation during a solo bicycle trip across the US before college.",Eric Harding,"I'm a mechanical engineer specializing in controls, and human centered design, while dabbling in a bit of everything.

Avid couchsurfer and almost always open to meeting new people!",Christina Reynolds,"I think the current climate crisis is the most important problem of our time, so I work on scientific solutions to reduce carbon emissions.",,,,
Finary.eu,Julien Blancher,"👋 I’m working on Finary and attending 24h of Le Mans as a gentleman driver. Dev, infra. Previously co-founder @recastai (sold to SAP).",Mounir Laggoune,"CEO @ Finary. Ex-Trainline, Captain Train, Yoopies. Loves cycling, playing tennis, and being outdoors.",,,,,,
BimaPe,Rahul Mathur,"Previously, Insurance Product Manager at Laka Insurance & 'InsurTech guy' at Accenture UK. Part-qualified Actuary and author of 'InsurTech Tribe' (ranked #1 InsurTech newsletter)",,,,,,,,
zingbus,Prashant Kumar,"29, hails from Patna, a Tier 2 town in India 
IIT Kharagpur, class of 14
Flipkart | Oyorooms
Hands on with numbers and plans
Loves to read and write poetry",Ravi Verma,CTO at Zingbus,Mratunjay Beniwal,,,,,
Greywing,Nick Clarke,"Former Royal Marine Commando, bootstrapped entrepreneur. Now turning data into Crew Changes in the maritime industry.",Hrishi Olickel,"Ex-researcher, with papers in applied cryptography, formal verification, human-computer interaction, genetic algorithms and learning, continuous glucose monitoring and baseline estimation for qPCR and X-Ray crystallography.

Some work in robotics and optical flow modeling, as well as 3 years in Insurtech and reinsurance in Southeast Asia, then a few years in fintech in Singapore.

I write a little at https://hrishioa.github.io",,,,,,
GimBooks,Yash Agrawal,,,,,,,,,
R2 Capital,Roger Larach,"I'm currently the Co-Founder and CEO of R2 Capital (YC W21). Before that, I spent time with Latin American neobank, Ualá, launching operations in Mexico. 

Pior to Ualá, I was an investment banker focused on M&A and restructuring deals in Latin America.",Roger Teran,"Co-founder of R2 Capital. 

Grew up in El Salvador. Early data scientist at WeWork, then led analytics at Reef, one of the largest networks of dark kitchens. Started my career helping SMBs in Central America find growth capital.",,,,,,
Measured,Frankie Brannon,Monji Dolon,,,,,,,,
Rinsed,Austin Esecson,Founder / CEO of Rinsed.,Nic Hippenmeyer,Early software engineer at Care/of. Previously at Canary and Bonobos. Graduated from Stanford in 2012 with a MS in Computer Science. I love building software that scales and delights the user.,Sam Logan,Technical founder. Loves making customer's lives better.,,,,
Purpose,Anna Matalon,Personal: I love dogs and tea.,Jon Sheller,"Personal:
I like bikes and beers and baking and board games. And skiing and hiking and sailing and running.

I've lived all over the place. Grew up in Iowa, then lived in Seattle then Paraguay then Pittsburgh then Portugal then San Francisco.

Professional:
Microsoft > Peace Corps Paraguay > WhatsApp > Purpose",Brendan Tobin,,,,,
Chatbiz,Terry Djony,"I'm Terry, from Bandung, Indonesia. I got into YC at age 21 during the last semester of my university. I love building products that people love. I have been coding since junior high school (self-taught).
Current mission is to empower as many SMEs as possible to accelerate the nation's economy with technology.",Kenny Ivanzaky Augusta,,,,,,,
BrioHR,Benjamin Croc,"French having lived 10 years in Malaysia from where I cofounded BrioHR.

Started my career with PwC then moved to Malaysia in early 2011 to head a global finance division for a French MNC, before getting an MBA at Insead (16J). Came back to Malaysia after that to join McKinsey up until the birth of my daughter, then switched to Lazada (Alibaba Group) in early 2018 before becoming obsessive about the need for BrioHR in the region :)

Avid player of badminton, squash, poker...

Do reach out!",Nabil Oudghiri,"Grew up in Morocco, studied engineering and worked in France, went to Singapore for my MBA and now living in Malaysia where I cofounded BrioHR!",,,,,,
Hyperplane,Daniel Habib,"Background live streaming, virtual reality and media",,,,,,,,
Popl,Jason Alvarez-Cohen,"CEO & Co-founder @ Popl

UCLA class of 2018, software engineer obsessed with NFC",Nick Eischens,COO & Co-founder @ Popl,Jeremy W. Greenfield,Chief Revenue Officer @ Popl,,,,
Hermes Robotics,Guilhem Herail,Mattia Pelissou,,,,,,,,
Roin Technologies,Jim Delaney,Interested in how we build faster and cheaper.,Gunner Robinson,,,,,,,
Logica,Carissa Castro,"Carissa Castro is the co-founder and CEO of Logica, a visual, collaborative financial modeling platform for dynamic planning and forecasting. Prior to this, she spent 10 years at Cargill in management and operations roles, and has extensive experience with financial modeling & analysis. She graduated from the University of Nebraska-Lincoln with a BS in Chemical Engineering, and more recently completed an online certification in software development.",Leandro Castro,"Leandro is the co-founder and CPO of Logica, a software startup for visual financial modeling (YC-W21). Leandro was the co-founder and CEO of a deep tech engineering software company that was acquired by Siemens. He became an advisor to Anzu Partners, a VC/PE firm focused on breakthrough industrial and life sciences technology companies, and a member of Pipeline, a network of high-performing, midwestern, entrepreneurs.",,,,,,
Procoto,Michael Otis,"Founder & CEO of Procoto. Previous experience: Strategy consultant at KPMG, procurement leader at Rubicon Global and Stord, corp dev at eBay, founder/GM of an SAT prep learning center.",Ryan Muckel,,,,,,,
Anima,Rachel Mumford,Co-founder & COO of Anima. Previously Head of Innovation Finance & Entrepreneurship for UK Treasury.,Shun Pang,CEO of Anima. Cambridge Uni trained doctor specializing in neuroscience (sensorimotor processing). Self taught coder and ML hacker.,,,,,,
Pangea.app,Adam Alpert,"Started off as a freelance videographer in middle school, and now I am one of the co-founders of Pangea.app; a platform we built to help college students freelance. 

Featured in Techcrunch, Boston Globe, Inc.Magazine and named one of 25u25 in RI.

Originally from NY, now living in Rhode Island.",John Tambunting,"Hello world! My name is John and I'm the CTO of Pangea.app. I discovered my passion for coding through attending hackathons while in college (github.com/jtambunt). I graduated from Brown with an Applied Mathematics degree.

I'm dedicated to creating serious value in the world because I was fortunately given every opportunity to succeed by my family. This is what motivates me. My parents came to the US from the Philippines with nothing to their names and were able to actualize the American Dream.",,,,,,
Kredi,Javier Aldape,Cofounder & CEO @ kredi.mx,Hernán Belden,Kredi W21,JC Mercado,"Co-founder & CTO @ Kredi.mx, Ruby/Elixir Dev with more than 15 years of experience, result oriented, dog lover, music producer",Fernando Nader Giacoman,Cofounder at Kredi,,
weweb.io,Raphael Goldsztejn,"CEO weweb.io, co-organiser vue.js Paris meetups, JAMstack enthusiast.",Florian Briou,,Marc Fabre,,,,,
Mindee,Mohamed Biaz,"Passionate about deep learning, I have several experiences in computer science and specially in machine learning. 

After graduating from a Mathematics degree in 2017, I founded Mindee, a startup specialized in computer vision and OCRs.",Olivier Rey,"Passionate about technology, I founded Mindee to enable document parsing via APIs by leveraging the best of artificial intelligence.",Jonathan Grandperrin,,,,,
Topkey,Tom Patton,"Former software engineer at Airbnb and previously HotelTonight. Prior to engineering, led BD and go-to-market teams at HotelTonight and worked as social media marketing manager at Google. Family has owned property management business for 50+ years. B.A. from University of Oregon.",Jonathan Sukhia,"Former Head of Global Management Company Partnerships at Airbnb and previously HotelTonight. Former Associate Director M&A at Starwood Hotels, led sale of Starwood’s timeshare vacation rental business. Started career in investment banking at Wells Fargo Securities. Master of Management from Duke’s Fuqua School of Business. Undergraduate degrees in accounting and finance from Florida State University. Originally from Tallahassee, Florida.",,,,,,
Udhaar App,Fahad Kamr,Myra Razia Ali,Shahjahan Warraich,,,,,,,
Lalabox,Kirill Avery (Averianov),"Hey, I'm Kirill! I'm 19, I was one of the youngest employees at VK (Facebook of Russia), built HQ Trivia of Russia with 15m organic downloads at 16. I love traveling & meeting cool people.

I moved to LA 1.5 years ago and building Lalabox now!",,,,,,,,
Kodo,Deepti Sanghi,Building Kodo,Gaurav Thapa,friendly neighbourhood software guy building the best credit card for Indian startups,,,,,,
Orbillion Bio,Patricia Bubner,"Patricia is a scientist and engineer with a background in high-throughput screening, automation, process analytics and development. She has a broad industry experience in biopharma and clean energy (Boehringer Ingelheim, Sila Nanotechnologies). She has an MSc and PhD in chemistry and biotechnology. During her postdoc at UC Berkeley, she co-founded themilletproject.org, that aimed at diversifying agriculture and our diet through cultivation and consumption of lesser-known grains such as millets.",Gabriel Levesque-Tremblay,"Gabriel Levesque Tremblay, PhD has 10+ years of experience in business development, synthetic biology and grant management. Prior to co-founding Orbillion, Gabriel was the Director of the Technical Business at AIChE where he grew 8M$ of sustainable revenues including the Food Innovation and Engineering (FOODIE) and the Emerging Meat Alternatives conference (EMAC). Gabriel also lead the strategic management of large grant initiatives from various grant agencies including DOD, DOE, NSF and NIH.",Samet Yildirim,"Samet has 10+ years of experience in commercializing biotechnologies. Samet was the Global Head of Innovation in the Boehringer Ingelheim's Biopharma Business Unit where he led the development and commercialization of biomanufacturing technologies. Prior to that, Samet held various positions within responsibilities for product innovation and business development in life science companies. He received a BSc in Biology and an MSc in Biophysics and business masters (MBS) in bioprocessing.",,,,
Dashlabs.ai,Bryan Giger,I like to build stuff.,Martin Gomez,"COO and Co-Founder, Dashlabs.ai. More than happy to connect towards collaborative efforts in sustainably making the world a better place.",Weston Coleman Lim,CTO and co-founder,JB Tiu,,,
Prescribe,Nived Narayanan,"CEO, Prescribe",Sreeshyam C A,,Amit Kumar,,,,,
Fintoc,Cristóbal Griffero,"Hi! I'm a CS Engineer from Chile 👨‍💻🇨🇱.

I have founded three startups. The first one was TaskRabbit for Chile, the second was a Crypto liquidity provider (still active) for LATAM exchanges, where we traded more than $150m USD. 

Now with Fintoc, we're connecting every single financial institution in LATAM through a propper API.",Lukas Zorich,"Software engineer from Chile. In one of my previous startups, I spent a lot of time manually verifying bank transfer payments. Frustrated by the fact that we couldn't write a program that could simply tell me how much money I have in my bank account, we decided to build a banking API ourselves.",,,,,,
Superpowered,Jordan Dearsley,"Cofounder @ Superpowered. Former Shopify, Wealthsimple, Asana",Nikhil Gupta,"eng, data, ops",Ibrahim Irfan,eng,Nick Yang,Design + product,,
Alinea,Nikhil Agrawal,Co-founder and CTO,Eve Halimi,Co-founder and Co-CEO of Alinea Invest.,Anam Lakhani,Co-founder / Co-Ceo of Alinea Invest,,,,
Lendflow,Jon Fry,"Founded ChannelGrowth in 2014, we specialized in small business customer acquisition for the alternative lending industry. We originated $150+ million over the past 5 years. Launched Quicklinecredit in 2017, which was our own integral micro funding product, where we built software for each stage of the lending process. Launched Lendflow in 2019.",Matthew Watts,"Matthew is co-founder of Lendflow and plays a leading role in driving key strategic initiatives and innovation across all engineering teams and the core business. Prior to joining Lendflow, Matthew oversaw teams at SpendHQ and directly leverages this expertise at Lendflow. In his free time he works as a volunteer for the National Park Service.",,,,,,
Parsagon,Sandy Suh,Machine learning researcher specializing in program analysis and program synthesis,Tony Thumpasery,"Founder and CEO of Parsagon, a web scraping developer tool. I have work experience as a product manager at Twitter and Zynga and have a Bachelor of Arts in Applied Mathematics and Computer Science from Harvard.",,,,,,
Emerge,Josh Cohenzadeh,Noah Martin,,,,,,,,
Pry Financials,Andy Su,"I founded Pry (W21) with Alex, Hayden and Tiffany to solve small business financial planning.

I founded inDinero (S10) with Jessica Mah to automate small business accounting.",Tiffany Wong,Head of Ops,Hayden Jensen,,Alex Sailer,,,
Juniper,Nathan Lee,Proud labradoodle puppy owner. Former McKinsey consultant (background in GTM/sales/PE) and former Business Manager of The Harvard Crimson.,Celina Qi,Former health care consultant at McKinsey. Harvard '19. Aspiring home baker.,Christophe Rimann,"Likes skiing and cooking. Former McKinsey healthcare consultant with a background in CS (Masters from Cornell, BS from Columbia) and fintech (built a bitcoin broker / dealer back in 2013).",,,,
Aviron Interactive,Andy Hoang,"A third-generation entrepreneur and self-described “tech nerd”, who believes in the power of using fitness and technology to better people’s lives.",,,,,,,,
Promoted.ai,Dan Hill,"I've worked on ad systems for ~15 years at Google, Pinterest and Promoted.ai. I'm passionate about growing team members and revenue.",Andrew Yates,I built ad marketplaces at Facebook and Pinterest.,,,,,,
FifthTry,Deepak Angrula,"I am a software engineer with experience working in multiple startups across domains such as education, video-on-demand, and insurance. My last gig was at Acko, where I was a founding member and helped build India's first direct online-only insurance company.",Amit Upadhyay,"Founder and CEO, fifthtry.com",,,,,,
June,Enzo Avigo,"Product guy with a strong entrepreneurial mind-set.
Building something new 📊 👉 https://bit.ly/3fIr7KE

Get in touch: enzoavigo@gmail.com",Ferruccio Balestreri,"I used to be an engineer at Intercom , where I met Enzo, my cofounder

Before that I built the tech side of altacucina.co the biggest community of Italian food lovers

In my free time I like to write here: https://ferrucc.io",,,,,,
Per Diem,Tomer Molovinsky,"A second time founder with a passion for building products at the intersection of hospitality and technology. I've had the pleasure of launching reservation systems, mobile payment solutions, and loyalty programs at OpenTable and Resy, and witnessed how operators were losing a direct connection with their customers online. We built Per Diem to strengthen the relationships that businesses have with those customers, and to ensure that local businesses can thrive in today's economy.",Doron Segal,"Hey I'm Doron, the co-founder & CTO of Per Diem — a subscription platform for brick & mortar businesses. 
I'm also a dad and a husband. I love to travel and meet new people.
I love creating things, and see people using the stuff I built. 
Prior to Per Diem I worked at Saildrone, OpenTable, Apple, Beats Music, Siemens.
Happy to help other YC's alumna",,,,,,
OctiFi,Ed Chin,"Ed Chin, based in Singapore, is the founder and CEO of OctiFi, a “buy now pay later” platform that doubles as a sales tool for home improvement professionals . Prior to founding OctiFi, Ed honed his data science skills at a renovation tech startup and spent more than a decade structuring, trading and investing in distressed consumer and mortgage credit on wall street. Ed graduated with a Bachelor of Arts with Honors in Economics and Mathematics from Yale University.",Amit Kumar,"I've strong experience in building and leading high performance engineering teams. Backend engineering comes easy to me, UI and UX are close to my heart and I keep a great deal of focus on how things are presented to the user.",,,,,,
Firstbase.io,Mark Milastsivy,Founder&CEO of Firstbase.io. Based in NYC.,,,,,,,,
